ID,Author,Group,Year,Focal_insect,Focal_insect_resolved_name,F_Guild,Focal_insect_diet_breadth,Competing_insect,Competing_insect_resolved_name,C_Guild,Competing_insect_diet_breadth,Host_plant,Phylogenetic_distance_between_focal_insect_and_competing_insect,Spatial_separation,temporal_separation,Fitness_component,Control_mean,Control_standard_error,Control_standard_deviation,Control_sample_size,Experimental_mean,Experimental_standard_error,Experimental_standard_deviation,Experimental_sample_size,yi_g,vi
1,Abdala-Roberts,Agrawal,2012,Aphis_asclepiadis,Aphis asclepiadis Fitch- 1851,Sucker,1,Danaus_plexippus,"Danaus (Anosia) plexippus Linnaeus, 1758",Chewer,2,Asclepias syriaca,671.699293,no separation,complete,Abundance,3.18,1.97,19.7,100,4.75,1.37,13.7,100,-0.092179797,0.020021243
2,Abdala-Roberts,Agrawal,2012,Aphis_asclepiadis,Aphis asclepiadis Fitch- 1851,Sucker,1,Danaus_plexippus,"Danaus (Anosia) plexippus Linnaeus, 1758",Chewer,2,Asclepias syriaca,671.699293,no separation,complete,Abundance,2.59,2.55,25.5,100,5.78,3.21,32.1,100,-0.109626395,0.020030045
3,Abdala-Roberts,Agrawal,2012,Myzocallis_asclepiadis,"Myzocallis (Neomyzocallis) asclepiadis (Monell, 1879)",Sucker,1,Danaus_plexippus,"Danaus (Anosia) plexippus Linnaeus, 1758",Chewer,2,Asclepias syriaca,671.699293,no separation,complete,Abundance,67.2,16,160,100,92.4,17,170,100,-0.152078098,0.020057819
4,Abdala-Roberts,Agrawal,2012,Myzocallis_asclepiadis,"Myzocallis (Neomyzocallis) asclepiadis (Monell, 1879)",Sucker,1,Danaus_plexippus,"Danaus (Anosia) plexippus Linnaeus, 1758",Chewer,2,Asclepias syriaca,671.699293,no separation,complete,Abundance,91.5,19.5,195,100,44.9,9.1,91,100,0.305092594,0.020232704
5,Agrawal_1,Agrawal,1999,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Raphanus raphanistrum,187.30709,no separation,complete,Body_size,1.82,0.11,0.33,9,1.31,0.13,0.367695526,8,1.390389032,0.292969395
6,Agrawal_1,Agrawal,1999,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Raphanus raphanistrum,187.30709,no separation,complete,Body_size,3.21,0.15,0.45,9,1.76,0.27,0.763675324,8,2.23179591,0.382608552
7,Agrawal_1,Agrawal,1999,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Raphanus sativus,187.30709,no separation,complete,Body_size,0.00169,0.00011,0.000527542,23,0.00086,0.0001,0.000519615,27,1.561264482,0.104890766
9,Agrawal_1,Agrawal,1999,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Raphanus sativus,187.30709,no separation,complete,Other,0.13,0.02,0.095916631,23,0.12,0.03,0.155884573,27,0.074662742,0.080571043
11,Agrawal_1,Agrawal,1999,Helicoverpa_zea,"Helicoverpa zea Boddie, 1850",Chewer,21,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Raphanus sativus,187.30709,no separation,complete,Feeding_preference,1,NA,NA,9,8,NA,NA,9,2.520535202,0.826446281
18,Agrawal_3,Agrawal,2004,Liriomyza_asclepiadis,"Liriomyza asclepiadis Spencer, 1969",Internal_feeder,NA,Tetraopes_tetraophthalmus,"Tetraopes tetraophthalmus Adams, 1915",Internal_feeder,Not found,Asclepias syriaca,NA,spatial separation,incomplete,Abundance,8.3,0.9,5.170106382,33,7.4,1,5.744562647,33,0.162748959,0.060806721
19,Agrawal_2,Agrawal,2000,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Raphanus sativus,0,no separation,complete,Body_size,0.31,0.02,0.08,16,0.23,0.02,0.08,16,0.974754378,0.139846033
20,Agrawal_2,Agrawal,2000,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Trichoplusia_ni,"Trichoplusia ni Hübner, 1802",Chewer,27,Raphanus sativus,124.711706,no separation,complete,Body_size,2.5,0.2,0.8,16,1.75,0.28,1.12,16,0.751165466,0.133816399
21,Agrawal_2,Agrawal,2000,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Trichoplusia_ni,"Trichoplusia ni Hübner, 1802",Chewer,27,Raphanus sativus,124.711706,no separation,complete,Body_size,0.23,0.02,0.08,16,1.75,0.28,1.12,16,-1.866081813,0.179410333
22,Agrawal_2,Agrawal,2000,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Raphanus sativus,187.30709,no separation,complete,Body_size,1.76,0.15,0.6,16,1.56,0.26,1.04,16,0.229624277,0.125823864
23,Agrawal_2,Agrawal,2000,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Raphanus sativus,187.30709,no separation,complete,Body_size,0.23,0.02,0.08,16,1.56,0.26,1.04,16,-1.757710656,0.173274168
24,Agrawal_2,Agrawal,2000,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Plutella_xylostella,"Plutella xylostella Linnaeus, 1767",Chewer,7,Raphanus sativus,198.748841,no separation,complete,Body_size,0.167,0.021,0.084,16,0.159,0.036,0.144,16,0.066151589,0.125068376
25,Agrawal_2,Agrawal,2000,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Plutella_xylostella,"Plutella xylostella Linnaeus, 1767",Chewer,7,Raphanus sativus,198.748841,no separation,complete,Body_size,0.23,0.02,0.08,16,0.159,0.036,0.144,16,0.594149349,0.130515835
26,Agrawal_2,Agrawal,2000,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Raphanus sativus,187.30709,no separation,complete,Body_size,0.303,0.029,0.116,16,0.238,0.022,0.088,16,0.615397345,0.130917405
27,Agrawal_2,Agrawal,2000,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Raphanus sativus,187.30709,no separation,complete,Body_size,1.4,0.11,0.44,16,0.238,0.022,0.088,16,3.569825392,0.324119583
28,Agrawal_2,Agrawal,2000,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Trichoplusia_ni,"Trichoplusia ni Hübner, 1802",Chewer,27,Raphanus sativus,187.30709,no separation,complete,Body_size,1.1,0.09,0.36,16,1.07,0.09,0.36,16,0.081229532,0.125103097
29,Agrawal_2,Agrawal,2000,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Trichoplusia_ni,"Trichoplusia ni Hübner, 1802",Chewer,27,Raphanus sativus,187.30709,no separation,complete,Body_size,1.4,0.11,0.44,16,1.07,0.09,0.36,16,0.800181408,0.135004536
30,Agrawal_2,Agrawal,2000,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Raphanus sativus,0,no separation,complete,Body_size,1.97,0.15,0.6,16,1.4,0.11,0.44,16,1.056056143,0.142425853
31,Agrawal_2,Agrawal,2000,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Plutella_xylostella,"Plutella xylostella Linnaeus, 1767",Chewer,7,Raphanus sativus,198.748841,no separation,complete,Body_size,0.193,0.023,0.092,16,0.194,0.03,0.12,16,-0.009116625,0.125001299
32,Agrawal_2,Agrawal,2000,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Plutella_xylostella,"Plutella xylostella Linnaeus, 1767",Chewer,7,Raphanus sativus,198.748841,no separation,complete,Body_size,1.4,0.11,0.44,16,0.194,0.03,0.12,16,3.645237528,0.332621197
33,Agrawal_2,Agrawal,2000,Trichoplusia_ni,"Spodoptera exigua Hübner, 1803/08",Chewer,27,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Raphanus sativus,124.711706,no separation,complete,Body_size,0.349,0.021,0.084,16,0.314,0.021,0.084,16,0.406147658,0.127577436
34,Agrawal_2,Agrawal,2000,Trichoplusia_ni,"Spodoptera exigua Hübner, 1803/08",Chewer,27,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Raphanus sativus,124.711706,no separation,complete,Body_size,3.04,0.14,0.56,16,0.314,0.021,0.084,16,6.636152514,0.813101878
35,Agrawal_2,Agrawal,2000,Trichoplusia_ni,"Spodoptera exigua Hübner, 1803/08",Chewer,27,Trichoplusia_ni,"Trichoplusia ni Hübner, 1802",Chewer,27,Raphanus sativus,0,no separation,complete,Body_size,2.74,0.16,0.64,16,3.04,0.14,0.56,16,-0.486297726,0.128695086
36,Agrawal_2,Agrawal,2000,Trichoplusia_ni,"Spodoptera exigua Hübner, 1803/08",Chewer,27,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Raphanus sativus,187.30709,no separation,complete,Body_size,2.57,0.17,0.68,16,2.19,0.13,0.52,16,0.611929033,0.130850893
37,Agrawal_2,Agrawal,2000,Trichoplusia_ni,"Spodoptera exigua Hübner, 1803/08",Chewer,27,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Raphanus sativus,187.30709,no separation,complete,Body_size,3.04,0.14,0.56,16,2.19,0.13,0.52,16,1.53328432,0.161733763
38,Agrawal_2,Agrawal,2000,Trichoplusia_ni,"Spodoptera exigua Hübner, 1803/08",Chewer,27,Plutella_xylostella,"Plutella xylostella Linnaeus, 1767",Chewer,7,Raphanus sativus,198.748841,no separation,complete,Body_size,2,0.12,0.48,16,1.9,0.22,0.88,16,0.13752143,0.125295502
39,Agrawal_2,Agrawal,2000,Trichoplusia_ni,"Spodoptera exigua Hübner, 1803/08",Chewer,27,Plutella_xylostella,"Plutella xylostella Linnaeus, 1767",Chewer,7,Raphanus sativus,198.748841,no separation,complete,Body_size,3.04,0.14,0.56,16,1.9,0.22,0.88,16,1.506609134,0.160466736
40,Agrawal_2,Agrawal,2000,Plutella_xylostella,"Plutella xylostella Linnaeus, 1767",Chewer,19,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Raphanus sativus,198.748841,no separation,complete,Body_size,0.58,0.3,1.2,16,0.2,0.18,0.72,16,0.374320049,0.127189305
41,Agrawal_2,Agrawal,2000,Plutella_xylostella,"Plutella xylostella Linnaeus, 1767",Chewer,19,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Raphanus sativus,198.748841,no separation,complete,Body_size,0.41,0.02,0.08,16,0.2,0.18,0.72,16,0.399606528,0.127495084
42,Agrawal_2,Agrawal,2000,Plutella_xylostella,"Plutella xylostella Linnaeus, 1767",Chewer,19,Trichoplusia_ni,"Trichoplusia ni Hübner, 1802",Chewer,27,Raphanus sativus,198.748841,no separation,complete,Body_size,1.07,0.14,0.56,16,0.9,0.05,0.2,16,0.39409687,0.127426755
43,Agrawal_2,Agrawal,2000,Plutella_xylostella,"Plutella xylostella Linnaeus, 1767",Chewer,19,Trichoplusia_ni,"Trichoplusia ni Hübner, 1802",Chewer,27,Raphanus sativus,198.748841,no separation,complete,Body_size,0.41,0.02,0.08,16,0.9,0.05,0.2,16,-3.135792248,0.278643641
44,Agrawal_2,Agrawal,2000,Plutella_xylostella,"Plutella xylostella Linnaeus, 1767",Chewer,19,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Raphanus sativus,198.748841,no separation,complete,Body_size,0.82,0.05,0.2,16,0.66,0.04,0.16,16,0.861148908,0.136587148
45,Agrawal_2,Agrawal,2000,Plutella_xylostella,"Plutella xylostella Linnaeus, 1767",Chewer,19,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Raphanus sativus,198.748841,no separation,complete,Body_size,0.41,0.02,0.08,16,0.66,0.04,0.16,16,-1.926527496,0.182992316
46,Agrawal_2,Agrawal,2000,Plutella_xylostella,"Plutella xylostella Linnaeus, 1767",Chewer,19,Plutella_xylostella,"Plutella xylostella Linnaeus, 1767",Chewer,7,Raphanus sativus,0,no separation,complete,Body_size,0.48,0.04,0.16,16,0.41,0.02,0.08,16,0.539427699,0.129546598
47,Agrawal_2,Agrawal,2000,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Trichoplusia_ni,"Trichoplusia ni Hübner, 1802",Chewer,27,Raphanus sativus,187.30709,no separation,complete,Body_size,2.72,0.44,3.408225345,60,1.06,0.14,1.084435337,60,0.652195532,0.035105663
48,Agrawal_2,Agrawal,2000,Pieris_rapae,"Pieris rapae (Linnaeus, 1758)",Chewer,5,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Raphanus sativus,187.30709,no separation,complete,Body_size,2.72,0.44,3.408225345,60,1.23,0.23,1.781572339,60,0.544428859,0.034568345
49,Agrawal_2,Agrawal,2000,Trichoplusia_ni,"Trichoplusia ni Hübner, 1802",Chewer,27,Trichoplusia_ni,"Trichoplusia ni Hübner, 1802",Chewer,27,Raphanus sativus,0,no separation,complete,Body_size,1.17,0.14,1.084435337,60,1.34,0.12,0.929516003,60,-0.167252568,0.033449889
50,Agrawal_2,Agrawal,2000,Trichoplusia_ni,"Trichoplusia ni Hübner, 1802",Chewer,27,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Raphanus sativus,124.711706,no separation,complete,Body_size,1.17,0.14,1.084435337,60,1.27,0.12,0.929516003,60,-0.098383863,0.033373664
51,Agrawal_2,Agrawal,2000,Trichoplusia_ni,"Trichoplusia ni Hübner, 1802",Chewer,27,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Raphanus sativus,124.711706,no separation,complete,Body_size,1.34,0.12,0.929516003,60,1.27,0.12,0.929516003,60,0.074828171,0.033356664
52,Agrawal_2,Agrawal,2000,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Trichoplusia_ni,"Trichoplusia ni Hübner, 1802",Chewer,27,Raphanus sativus,124.711706,no separation,complete,Body_size,0.34,0.04,0.309838668,60,0.31,3.09,23.93503708,60,0.001761123,0.033333346
53,Agrawal_2,Agrawal,2000,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Trichoplusia_ni,"Trichoplusia ni Hübner, 1802",Chewer,27,Raphanus sativus,124.711706,no separation,complete,Body_size,0.28,2.88,22.30838407,60,0.31,3.09,23.93503708,60,-0.001288418,0.03333334
54,Agrawal_2,Agrawal,2000,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Spodoptera_exigua,"Spodoptera exigua Hübner, 1803/08",Chewer,19,Raphanus sativus,0,no separation,complete,Body_size,0.34,0.04,0.309838668,60,0.28,2.88,22.30838407,60,0.003779029,0.033333393
55,Ali,Agrawal,2014,Danaus_plexippus,"Danaus (Anosia) plexippus Linnaeus, 1758",Chewer,2,Aphis_nerii,"Aphis nerii Boyer de Fonscolombe, 1841",Sucker,32,Asclepias syriaca,671.699293,spatial separation,incomplete,Body_size,7.82,1.06,4.105362347,15,12.93,1.72,6.661531356,15,-0.898537708,0.1467895
56,Ali,Agrawal,2014,Danaus_plexippus,"Danaus (Anosia) plexippus Linnaeus, 1758",Chewer,2,Aphis_nerii,"Aphis nerii Boyer de Fonscolombe, 1841",Sucker,32,Asclepias tuberosa,671.699293,spatial separation,incomplete,Body_size,6.06,0.85,3.292035844,15,5.55,0.95,3.679334179,15,0.142133156,0.133670031
57,Ali,Agrawal,2014,Aphis_nerii,"Aphis nerii Boyer de Fonscolombe, 1841",Sucker,32,Danaus_plexippus,"Danaus (Anosia) plexippus Linnaeus, 1758",Chewer,2,Asclepias syriaca,671.699293,spatial separation,incomplete,Abundance,534,83,321.4576177,15,308,52,180.133284,12,0.815866658,0.162326637
58,Ali,Agrawal,2014,Aphis_nerii,"Aphis nerii Boyer de Fonscolombe, 1841",Sucker,32,Danaus_plexippus,"Danaus (Anosia) plexippus Linnaeus, 1758",Chewer,2,Asclepias tuberosa,671.699293,spatial separation,incomplete,Abundance,960,159,615.804352,15,737,156,604.185402,15,0.355665319,0.13544163
59,Alla,Alla,2001,Psammotettix_alienus,"Psammotettix alienus (Dahlbom, 1850)",Sucker,1,Rhopalosiphum_padi,"Rhopalosiphum padi (Linnaeus, 1758)",Sucker,31,Triticum sp.,NA,no separation,no separation,Survival,9.9994,NA,NA,17,10.0008,NA,NA,18,-0.080730714,0.171847714
60,Alla,Alla,2001,Psammotettix_alienus,"Psammotettix alienus (Dahlbom, 1850)",Sucker,1,Rhopalosiphum_padi,"Rhopalosiphum padi (Linnaeus, 1758)",Sucker,31,Triticum sp.,NA,no separation,no separation,Survival,10.0002,NA,NA,21,10.0008,NA,NA,18,0.193088213,0.152768869
61,Alla,Alla,2001,Psammotettix_alienus,"Psammotettix alienus (Dahlbom, 1850)",Sucker,1,Rhopalosiphum_padi,"Rhopalosiphum padi (Linnaeus, 1758)",Sucker,31,Triticum sp.,NA,no separation,no separation,Survival,10,NA,NA,20,10.0004,NA,NA,23,-0.158965755,0.138446811
62,Alla,Alla,2001,Psammotettix_alienus,"Psammotettix alienus (Dahlbom, 1850)",Sucker,1,Rhopalosiphum_padi,"Rhopalosiphum padi (Linnaeus, 1758)",Sucker,31,Triticum sp.,NA,no separation,no separation,Survival,9.9994,NA,NA,17,10.9984,NA,NA,32,-0.608107909,0.140087653
63,Alla,Alla,2001,Psammotettix_alienus,"Psammotettix alienus (Dahlbom, 1850)",Sucker,1,Rhopalosiphum_padi,"Rhopalosiphum padi (Linnaeus, 1758)",Sucker,31,Triticum sp.,NA,no separation,no separation,Survival,10.0002,NA,NA,21,8.0002,NA,NA,34,-0.656575943,0.130162517
64,Alla,Alla,2001,Psammotettix_alienus,"Psammotettix alienus (Dahlbom, 1850)",Sucker,1,Rhopalosiphum_padi,"Rhopalosiphum padi (Linnaeus, 1758)",Sucker,31,Triticum sp.,NA,no separation,no separation,Survival,10,NA,NA,20,8,NA,NA,40,-0.840178401,0.130853994
65,Alla,Alla,2001,Psammotettix_alienus,"Psammotettix alienus (Dahlbom, 1850)",Sucker,1,Rhopalosiphum_padi,"Rhopalosiphum padi (Linnaeus, 1758)",Sucker,31,Triticum sp.,NA,no separation,no separation,Development_time,-23.62,1.01,3.193900437,10,-30.41,1.92,6.071573108,10,1.340420105,0.244918151
66,Alla,Alla,2001,Psammotettix_alienus,"Psammotettix alienus (Dahlbom, 1850)",Sucker,1,Rhopalosiphum_padi,"Rhopalosiphum padi (Linnaeus, 1758)",Sucker,31,Triticum sp.,NA,no separation,no separation,Development_time,-22.91,1.22,3.857978745,10,-28.43,2.94,9.297096321,10,0.742697014,0.213789971
67,Alla,Alla,2001,Psammotettix_alienus,"Spodoptera exigua Hübner, 1803/08",Sucker,1,Rhopalosiphum_padi,"Rhopalosiphum padi (Linnaeus, 1758)",Sucker,31,Triticum sp.,NA,no separation,no separation,Development_time,-22.1,1.42,4.490434277,10,-24.68,1.78,5.628854235,10,0.485259328,0.205886915
68,Alla,Alla,2001,Psammotettix_alienus,"Psammotettix alienus (Dahlbom, 1850)",Sucker,1,Rhopalosiphum_padi,"Rhopalosiphum padi (Linnaeus, 1758)",Sucker,31,Triticum sp.,NA,no separation,no separation,Development_time,-23.62,1.01,3.193900437,10,-33.08,2.33,7.727735762,11,1.507970285,0.245051338
69,Alla,Alla,2001,Psammotettix_alienus,"Psammotettix alienus (Dahlbom, 1850)",Sucker,1,Rhopalosiphum_padi,"Rhopalosiphum padi (Linnaeus, 1758)",Sucker,31,Triticum sp.,NA,no separation,no separation,Development_time,-22.91,1.22,3.857978745,10,-27.87,2.13,6.024549776,8,0.959104656,0.250552271
70,Alla,Alla,2001,Psammotettix_alienus,"Psammotettix alienus (Dahlbom, 1850)",Sucker,1,Rhopalosiphum_padi,"Rhopalosiphum padi (Linnaeus, 1758)",Sucker,31,Triticum sp.,NA,no separation,no separation,Development_time,-22.1,1.42,4.490434277,10,-28.79,2.32,6.561950929,8,1.159616947,0.262353096
71,Alla,Alla,2001,Psammotettix_alienus,"Psammotettix alienus (Dahlbom, 1850)",Sucker,1,Rhopalosiphum_padi,"Rhopalosiphum padi (Linnaeus, 1758)",Sucker,31,Triticum sp.,NA,no separation,no separation,Fecundity,1.87,0.26,0.52,4,1.01,0.26,0.45033321,3,1.465682992,0.736778093
72,Alla,Alla,2001,Psammotettix_alienus,"Psammotettix alienus (Dahlbom, 1850)",Sucker,1,Rhopalosiphum_padi,"Rhopalosiphum padi (Linnaeus, 1758)",Sucker,31,Triticum sp.,NA,no separation,no separation,Fecundity,3.42,0.55,1.1,4,1.03,0.29,0.58,4,2.360941069,0.848377671
73,Alla,Alla,2001,Psammotettix_alienus,"Psammotettix alienus (Dahlbom, 1850)",Sucker,1,Rhopalosiphum_padi,"Rhopalosiphum padi (Linnaeus, 1758)",Sucker,31,Triticum sp.,NA,no separation,no separation,Fecundity,1.92,0.37,0.74,4,1.8,0.58,1.53453576,7,0.082842151,0.393169089
74,Alla,Alla,2001,Psammotettix_alienus,"Psammotettix alienus (Dahlbom, 1850)",Sucker,1,Rhopalosiphum_padi,"Rhopalosiphum padi (Linnaeus, 1758)",Sucker,31,Triticum sp.,NA,no separation,no separation,Fecundity,1.87,0.26,0.52,4,0.614,0.216,0.30547013,2,2.107426953,1.12010403
75,Alla,Alla,2001,Psammotettix_alienus,"Psammotettix alienus (Dahlbom, 1850)",Sucker,1,Rhopalosiphum_padi,"Rhopalosiphum padi (Linnaeus, 1758)",Sucker,31,Triticum sp.,NA,no separation,no separation,Fecundity,3.42,0.55,1.1,4,1.51,0.3,0.6,4,1.872542604,0.719150988
76,Alla,Alla,2001,Psammotettix_alienus,"Psammotettix alienus (Dahlbom, 1850)",Sucker,1,Rhopalosiphum_padi,"Rhopalosiphum padi (Linnaeus, 1758)",Sucker,31,Triticum sp.,NA,no separation,no separation,Fecundity,1.92,0.37,0.74,4,1.5,0.22,0.311126984,2,0.50815318,0.771518305
77,Ammunet,Klemola,2010,Epirrita_autumnata,"Epirrita autumnata (Borkhausen, 1794)",Chewer,1,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Betula pubescens,84.653992,no separation,no separation,Body_size,80.9,8.8,27.82804341,10,60.5,44.7,141.3538114,10,0.191772288,0.200919415
78,Ammunet,Ammunet,2010,Epirrita_autumnata,"Epirrita autumnata (Borkhausen, 1794)",Chewer,1,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Betula pubescens,84.653992,no separation,no separation,Body_size,87.8,9.7,30.6740933,10,43.9,45.4,143.5674058,10,0.404982152,0.204100264
79,Ammunet,Ammunet,2010,Epirrita_autumnata,"Epirrita autumnata (Borkhausen, 1794)",Chewer,1,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Betula pubescens,84.653992,spatial separation,no separation,Body_size,87.8,7.8,38.21203999,24,81.3,8.1,39.68173383,24,0.164126274,0.083613932
80,Ammunet,Ammunet,2010,Epirrita_autumnata,"Epirrita autumnata (Borkhausen, 1794)",Chewer,1,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Betula pubescens,84.653992,spatial separation,no separation,Body_size,99.3,7.7,37.72214204,24,86.5,8.8,43.11101947,24,0.310815188,0.084339647
81,Ammunet,Ammunet,2010,Epirrita_autumnata,"Epirrita autumnata (Borkhausen, 1794)",Chewer,1,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Betula pubescens,84.653992,spatial separation,no separation,Body_size,76.9,7.1,34.78275435,24,79.8,7.6,37.23224409,24,-0.079171478,0.083398626
82,Ammunet,Ammunet,2010,Epirrita_autumnata,"Epirrita autumnata (Borkhausen, 1794)",Chewer,1,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Betula pubescens,84.653992,spatial separation,no separation,Body_size,85.5,7.3,35.76255024,24,81.8,7.6,37.23224409,24,0.099693447,0.083436862
83,Ammunet,Ammunet,2010,Epirrita_autumnata,"Epirrita autumnata (Borkhausen, 1794)",Chewer,1,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Betula pubescens,84.653992,spatial separation,no separation,Body_size,70.3,7.1,34.78275435,24,69.7,7.4,36.25244819,24,0.016612289,0.083336208
84,Ammunet,Ammunet,2010,Epirrita_autumnata,"Epirrita autumnata (Borkhausen, 1794)",Chewer,1,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Betula pubescens,84.653992,spatial separation,no separation,Body_size,73.3,7.2,35.2726523,24,77.8,7.5,36.74234614,24,-0.122897748,0.083490665
85,Ammunet,Ammunet,2010,Epirrita_autumnata,"Epirrita autumnata (Borkhausen, 1794)",Chewer,1,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Betula pubescens,84.653992,spatial separation,no separation,Development_time,-229,12,58.78775383,24,-242,13,63.68673331,24,0.208638933,0.083786773
86,Ammunet,Ammunet,2010,Epirrita_autumnata,"Epirrita autumnata (Borkhausen, 1794)",Chewer,1,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Betula pubescens,84.653992,spatial separation,no separation,Development_time,-228,10,48.98979486,24,-243,11,53.88877434,24,0.286496481,0.084188336
87,Ammunet,Ammunet,2010,Epirrita_autumnata,"Epirrita autumnata (Borkhausen, 1794)",Chewer,1,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Betula pubescens,84.653992,spatial separation,no separation,Development_time,-239,10,48.98979486,24,-229,11,53.88877434,24,-0.190997654,0.083713334
88,Ammunet,Ammunet,2010,Epirrita_autumnata,"Epirrita autumnata (Borkhausen, 1794)",Chewer,1,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Betula pubescens,84.653992,spatial separation,no separation,Survival,15.36,NA,NA,24,15.36,NA,NA,24,0,0.13285209
89,Ammunet,Ammunet,2010,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Epirrita_autumnata,"Epirrita autumnata (Borkhausen, 1794)",Chewer,1,Betula pubescens,84.653992,spatial separation,no separation,Survival,14.64,NA,NA,24,19.2,NA,NA,24,0.569080087,0.159985412
90,Anderson_1,Anderson,1996,Ephestia_kuehniella,NA,Chewer,NA,Plodia_interpunctella,NA,Chewer,18,no host,NA,no separation,no separation,Oviposition,6.149,NA,NA,11,4.829,NA,NA,11,-0.292318843,0.27103825
91,Anderson_1,Anderson,1996,Ephestia_kuehniella,NA,Chewer,NA,Plodia_interpunctella,NA,Chewer,18,no host,NA,no separation,no separation,Oviposition,6.622,NA,NA,14,7.266,NA,NA,14,0.111601075,0.210349796
92,Anderson_1,Anderson,1996,Ephestia_kuehniella,NA,Chewer,NA,Plodia_interpunctella,NA,Chewer,18,no host,NA,no separation,no separation,Oviposition,10.962,NA,NA,14,2.842,NA,NA,14,-1.606596389,0.316574778
93,Anderson_1,Anderson,1996,Ephestia_kuehniella,NA,Chewer,NA,Plodia_interpunctella,NA,Chewer,18,no host,NA,no separation,no separation,Oviposition,10.637,NA,NA,11,1.606,NA,NA,11,-3.117585155,1.314214266
