ID,Author,Group,Year,Focal_insect,Focal_insect_resolved_name,F_Guild,Focal_insect_diet_breadth,Competing_insect,Competing_insect_resolved_name,C_Guild,Competing_insect_diet_breadth,Host_plant,Phylogenetic_distance_between_focal_insect_and_competing_insect,Spatial_separation,temporal_separation,Fitness_component,Control_mean,Control_standard_error,Control_standard_deviation,Control_sample_size,Experimental_mean,Experimental_standard_error,Experimental_standard_deviation,Experimental_sample_size,yi_g,vi
773,Hunter_3,HunterM,1989,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Quercus rubra,208.843046,no separation,no separation,Body_size,33.05,20.1,44.94496635,5,40.69,2.45,5.478366545,5,-0.21541198,0.402320116
774,Hunter_3,HunterM,1989,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Quercus rubra,208.843046,no separation,no separation,Body_size,27.19,0.95,2.124264579,5,40.49,2.27,5.075874309,5,-3.085711114,0.876080654
775,Hunter_3,HunterM,1989,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Quercus rubra,208.843046,no separation,no separation,Body_size,35,1.21,2.705642253,5,36.49,1.69,3.778954882,5,-0.409269503,0.408375076
776,Hunter_3,HunterM,1989,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Quercus rubra,0,no separation,no separation,Body_size,43.87,2.43,5.433645185,5,42.41,1.79,4.00256168,5,0.276180204,0.403813775
777,Hunter_3,HunterM,1989,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Quercus rubra,0,no separation,no separation,Body_size,43.87,2.43,5.433645185,5,37.5,3.56,7.960402,5,0.843740995,0.435594943
778,Hunter_3,HunterM,1989,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Quercus rubra,0,no separation,no separation,Body_size,38.66,2.45,5.478366545,5,33.29,1.07,2.392592736,5,1.146767256,0.465753757
779,Hunter_3,HunterM,1989,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Quercus rubra,0,no separation,no separation,Body_size,38.66,2.45,5.478366545,5,36.4,1.19,2.660920893,5,0.473720854,0.411220572
780,Hunter_3,HunterM,1989,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Quercus rubra,208.843046,no separation,no separation,Body_size,43.87,2.43,5.433645185,5,46.88,2.53,5.657251983,5,-0.489876506,0.41199895
781,Hunter_3,HunterM,1989,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Quercus rubra,208.843046,no separation,no separation,Body_size,43.87,2.43,5.433645185,5,33.29,1.07,2.392592736,5,2.274952386,0.658770418
782,Hunter_3,HunterM,1989,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Quercus rubra,208.843046,no separation,no separation,Body_size,38.66,2.45,5.478366545,5,36.87,2.54,5.679612663,5,0.289582224,0.404192893
783,Hunter_3,HunterM,1989,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Quercus rubra,208.843046,no separation,no separation,Body_size,38.66,2.45,5.478366545,5,41.17,1.13,2.526756815,5,-0.53113017,0.414104963
